,action,appPackage,category,postedTimeOfDay,contactSignificantContext,numberUpdates,p1,p2,p3,p4,p5,p6,postedDayOfWeek,priority,subject
0,FALSE,com.google.android.gm,email,afternoon,FALSE,4.01417,0.5364677,1.0147283,1.8560882,0.08352581,-0.4353946,0.5265149,2.9502587,0.17982501,Unknown
1,FALSE,com.android.providers.downloads,transport,afternoon,FALSE,28.70327,0.27116537,-0.55005646,-0.9048253,-0.16099149,-0.102375165,-0.52192926,-0.80415714,-0.48786187,Unknown
2,FALSE,com.android.systemui,email,afternoon,FALSE,31.22982,0.3860051,-1.051577,-0.6405064,-0.37465188,0.28641382,-1.3335028,-1.3820176,-0.2362423,/Jobs & Education/Education
3,FALSE,com.tinder,unknown,afternoon,FALSE,-8.072567,0.080625415,-0.040831372,-0.765482,-0.33946416,-0.17155549,-0.52733326,4.9063797,0.04018852,Unknown
4,TRUE,com.google.android.gm,email,afternoon,FALSE,13.568864,0.48208037,1.0141116,1.2274147,-0.15800853,-0.27252102,0.37380207,0.674189,-0.10215091,unknown
5,FALSE,com.android.vending,unknown,afternoon,FALSE,-9.526493,-0.09175144,-0.7945705,-0.80183697,-0.52225703,0.40612525,-0.23966241,4.730737,0.30185458,Unknown
6,TRUE,com.google.android.gm,email,afternoon,FALSE,18.198328,0.63437194,-0.006475672,0.023755047,0.35063237,0.1498633,-0.22770101,1.5540818,0.04883246,Unknown
7,FALSE,com.google.android.gm,email,afternoon,FALSE,-0.5738262,-0.19469373,1.7270595,0.9131066,0.34023625,0.717915,0.16376315,4.361281,-0.8656722,Unknown
8,FALSE,com.google.android.gm,email,afternoon,FALSE,14.528583,0.5275935,-0.28491735,-0.16703707,-0.38491705,0.19900763,-0.15828255,0.79732305,-0.30629504,Unknown
9,FALSE,com.google.android.gm,email,morn,FALSE,-0.98976004,-0.18963717,1.0531685,0.70318514,-0.25600454,0.5817303,0.87778354,5.5244155,-0.015314855,Unknown
10,FALSE,com.google.android.gm,email,afternoon,FALSE,10.9338665,0.23584278,0.86373544,0.44980428,0.4208391,-0.2587239,0.8576804,2.269259,-0.041113354,Unknown
11,FALSE,com.google.android.gm,unknown,afternoon,FALSE,24.244274,-0.06168296,0.6506807,0.07465501,-0.23184708,-0.39525747,0.23147357,2.4000413,0.02207058,unknown
12,FALSE,com.android.vending,unknown,morn,FALSE,-7.7227926,-0.1688412,0.37324023,-0.5786343,0.5338061,0.38855195,-0.093397796,4.2802644,-0.22180122,Unknown
13,FALSE,com.google.android.gm,unknown,afternoon,FALSE,9.74167,0.2230077,0.73665476,0.1427179,0.02762042,0.6915186,0.5557983,5.963527,0.3473482,Unknown
14,FALSE,com.google.android.gm,unknown,afternoon,FALSE,-2.3888679,-0.025323872,0.77806574,0.77561575,0.21166511,0.7118569,0.8924953,2.7873514,0.46321866,Unknown
15,FALSE,com.google.android.gm,email,morn,FALSE,1.8327135,0.20260312,1.0891769,0.81696624,0.14833227,0.9045795,0.122496754,3.5727892,0.040479206,Unknown
16,TRUE,com.google.android.gm,unknown,afternoon,FALSE,3.5702167,-0.07145664,1.0473953,0.94952714,-0.27404314,1.0492128,0.5968621,4.8295193,0.65950316,unknown
17,FALSE,com.android.vending,unknown,afternoon,FALSE,-9.33803,-0.142367,0.115580484,-0.5842506,-0.11557523,0.32986695,0.15898551,4.1390786,0.11866165,Unknown
18,TRUE,com.google.android.gm,email,afternoon,FALSE,12.699944,0.29338866,-0.2792194,0.04515222,0.65040594,0.40602946,-0.71479726,3.8728242,0.10646152,Unknown
19,TRUE,com.google.android.gm,email,afternoon,FALSE,10.434647,0.3904686,-0.35533065,0.039300837,-0.22994107,0.51620835,-0.032906637,2.465498,0.45401356,Unknown
20,FALSE,com.google.android.gm,email,afternoon,FALSE,1.1471059,-0.20085336,0.7989448,1.1382899,0.06955873,0.4914474,-0.31665194,5.658947,0.64447045,unknown
21,FALSE,com.google.android.gm,unknown,afternoon,FALSE,11.446819,0.1437667,0.6399303,1.4551541,0.21308969,-0.32466197,0.95526004,0.9939032,-0.1798802,Unknown
22,FALSE,com.google.android.gm,email,afternoon,FALSE,14.777263,-0.6183416,0.6117686,0.5636039,0.30262375,-0.25736862,0.1507451,2.0078328,-0.851574,Unknown
23,FALSE,com.google.android.gm,unknown,afternoon,FALSE,7.543684,0.22333543,1.5954837,1.0949167,-0.042181395,0.33629155,0.042568807,2.6910422,0.2967035,unknown
24,TRUE,com.google.android.gm,email,afternoon,FALSE,3.7657483,0.07805921,1.8042399,0.55861896,0.34064358,0.83149445,0.8079483,2.8618693,0.5047669,unknown
25,TRUE,com.google.android.gm,email,afternoon,FALSE,26.315853,0.32479236,-0.35492998,-0.27979714,0.3637405,0.0220346,-0.049140923,2.4871492,0.38930953,Unknown
26,TRUE,com.google.android.gm,email,afternoon,FALSE,14.992093,-0.2330385,0.711693,0.32445583,0.4848932,0.19852518,1.381125,0.8969363,-0.6333808,unknown
